port,open,service,banner,duration
8459,False,,,0.098
8460,False,,,0.097
8461,False,,,0.098
8462,False,,,0.097
8463,False,,,0.074
8464,False,,,0.087
8465,False,,,0.086
8466,False,,,0.06
8467,False,,,0.06
8468,False,,,0.06
8469,False,,,0.06
8470,False,,,0.081
8471,False,,,0.083
8472,False,,,0.084
8473,False,,,0.082
8474,False,,,0.082
8475,False,,,0.079
8476,False,,,0.084
8477,False,,,0.081
8478,False,,,0.082
8479,False,,,0.082
8480,False,,,0.08
8481,False,,,0.082
8482,False,,,0.082
8483,False,,,0.082
8484,False,,,0.082
8485,False,,,0.079
8486,False,,,0.083
8487,False,,,0.082
8488,False,,,0.082
8489,False,,,0.086
8490,False,,,0.088
8491,False,,,0.088
8492,False,,,0.088
8493,False,,,0.078
8494,False,,,0.078
8495,False,,,0.088
8496,False,,,0.078
8497,False,,,0.088
8498,False,,,0.088
8499,False,,,0.098
8500,False,,,0.096
8501,False,,,0.082
8502,False,,,0.098
8503,False,,,0.082
8504,False,,,0.082
8505,False,,,0.082
8506,False,,,0.098
8507,False,,,0.082
8508,False,,,0.082
8509,False,,,0.082
8510,False,,,0.082
8511,False,,,0.098
8512,False,,,0.096
8513,False,,,0.096
8514,False,,,0.096
8515,False,,,0.08
8516,False,,,0.082
8517,False,,,0.079
8518,False,,,0.098
8519,False,,,0.079
8520,False,,,0.098
8521,False,,,0.079
8522,False,,,0.079
8523,False,,,0.079
8524,False,,,0.1
8525,False,,,0.1
8526,False,,,0.101
8527,False,,,0.1
8528,False,,,0.079
8529,False,,,0.079
8530,False,,,0.079
8531,False,,,0.1
8532,False,,,0.102
8533,False,,,0.081
8534,False,,,0.102
8535,False,,,0.102
8536,False,,,0.102
8537,False,,,0.081
8538,False,,,0.081
8539,False,,,0.081
8540,False,,,0.081
8541,False,,,0.1
8542,False,,,0.075
8543,False,,,0.097
8544,False,,,0.094
8545,False,,,0.094
8546,False,,,0.073
8547,False,,,0.081
8548,False,,,0.083
8549,False,,,0.089
8550,False,,,0.06
8551,False,,,0.057
8552,False,,,0.086
8553,False,,,0.085
8554,False,,,0.063
8555,False,,,0.085
